timestamp,PM2.5,humidity,temperature,month,day_of_month,day_of_year,week_of_year,day_of_week,year,is_wknd,is_month_start,is_month_end
2020-12-26 10:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,26,361,52,6,2020,1,0,0
2020-12-26 11:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,26,361,52,6,2020,1,0,0
2020-12-26 12:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,26,361,52,6,2020,1,0,0
2020-12-26 13:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,26,361,52,6,2020,1,0,0
2020-12-26 14:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,26,361,52,6,2020,1,0,0
2020-12-26 15:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,26,361,52,6,2020,1,0,0
2020-12-26 16:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,26,361,52,6,2020,1,0,0
2020-12-26 17:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,26,361,52,6,2020,1,0,0
2020-12-26 18:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,26,361,52,6,2020,1,0,0
2020-12-26 19:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,26,361,52,6,2020,1,0,0
2020-12-26 20:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,26,361,52,6,2020,1,0,0
2020-12-26 21:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,26,361,52,6,2020,1,0,0
2020-12-26 22:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,26,361,52,6,2020,1,0,0
2020-12-26 23:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,26,361,52,6,2020,1,0,0
2020-12-27 00:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,27,362,52,7,2020,1,0,0
2020-12-27 01:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,27,362,52,7,2020,1,0,0
2020-12-27 02:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,27,362,52,7,2020,1,0,0
2020-12-27 03:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,27,362,52,7,2020,1,0,0
2020-12-27 04:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,27,362,52,7,2020,1,0,0
2020-12-27 05:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,27,362,52,7,2020,1,0,0
2020-12-27 06:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,27,362,52,7,2020,1,0,0
2020-12-27 07:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,27,362,52,7,2020,1,0,0
2020-12-27 08:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,27,362,52,7,2020,1,0,0
2020-12-27 09:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,27,362,52,7,2020,1,0,0
2020-12-27 10:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,27,362,52,7,2020,1,0,0
2020-12-27 11:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,27,362,52,7,2020,1,0,0
2020-12-27 12:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,27,362,52,7,2020,1,0,0
2020-12-27 13:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,27,362,52,7,2020,1,0,0
2020-12-27 14:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,27,362,52,7,2020,1,0,0
2020-12-27 15:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,27,362,52,7,2020,1,0,0
2020-12-27 16:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,27,362,52,7,2020,1,0,0
2020-12-27 17:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,27,362,52,7,2020,1,0,0
2020-12-27 18:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,27,362,52,7,2020,1,0,0
2020-12-27 19:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,27,362,52,7,2020,1,0,0
2020-12-27 20:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,27,362,52,7,2020,1,0,0
2020-12-27 21:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,27,362,52,7,2020,1,0,0
2020-12-27 22:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,27,362,52,7,2020,1,0,0
2020-12-27 23:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,27,362,52,7,2020,1,0,0
2020-12-28 00:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,28,363,53,1,2020,0,0,0
2020-12-28 01:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,28,363,53,1,2020,0,0,0
2020-12-28 02:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,28,363,53,1,2020,0,0,0
2020-12-28 03:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,28,363,53,1,2020,0,0,0
2020-12-28 04:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,28,363,53,1,2020,0,0,0
2020-12-28 05:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,28,363,53,1,2020,0,0,0
2020-12-28 06:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,28,363,53,1,2020,0,0,0
2020-12-28 07:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,28,363,53,1,2020,0,0,0
2020-12-28 08:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,28,363,53,1,2020,0,0,0
2020-12-28 09:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,28,363,53,1,2020,0,0,0
2020-12-28 10:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,28,363,53,1,2020,0,0,0
2020-12-28 11:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,28,363,53,1,2020,0,0,0
2020-12-28 12:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,28,363,53,1,2020,0,0,0
2020-12-28 13:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,28,363,53,1,2020,0,0,0
2020-12-28 14:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,28,363,53,1,2020,0,0,0
2020-12-28 15:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,28,363,53,1,2020,0,0,0
2020-12-28 16:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,28,363,53,1,2020,0,0,0
2020-12-28 17:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,28,363,53,1,2020,0,0,0
2020-12-28 18:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,28,363,53,1,2020,0,0,0
2020-12-28 19:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,28,363,53,1,2020,0,0,0
2020-12-28 20:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,28,363,53,1,2020,0,0,0
2020-12-28 21:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,28,363,53,1,2020,0,0,0
2020-12-28 22:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,28,363,53,1,2020,0,0,0
2020-12-28 23:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,28,363,53,1,2020,0,0,0
2020-12-29 00:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,29,364,53,2,2020,0,0,0
2020-12-29 01:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,29,364,53,2,2020,0,0,0
2020-12-29 02:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,29,364,53,2,2020,0,0,0
2020-12-29 03:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,29,364,53,2,2020,0,0,0
2020-12-29 04:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,29,364,53,2,2020,0,0,0
2020-12-29 05:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,29,364,53,2,2020,0,0,0
2020-12-29 06:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,29,364,53,2,2020,0,0,0
2020-12-29 07:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,29,364,53,2,2020,0,0,0
2020-12-29 08:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,29,364,53,2,2020,0,0,0
2020-12-29 09:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,29,364,53,2,2020,0,0,0
2020-12-29 10:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,29,364,53,2,2020,0,0,0
2020-12-29 11:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,29,364,53,2,2020,0,0,0
2020-12-29 12:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,29,364,53,2,2020,0,0,0
2020-12-29 13:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,29,364,53,2,2020,0,0,0
2020-12-29 14:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,29,364,53,2,2020,0,0,0
2020-12-29 15:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,29,364,53,2,2020,0,0,0
2020-12-29 16:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,29,364,53,2,2020,0,0,0
2020-12-29 17:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,29,364,53,2,2020,0,0,0
2020-12-29 18:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,29,364,53,2,2020,0,0,0
2020-12-29 19:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,29,364,53,2,2020,0,0,0
2020-12-29 20:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,29,364,53,2,2020,0,0,0
2020-12-29 21:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,29,364,53,2,2020,0,0,0
2020-12-29 22:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,29,364,53,2,2020,0,0,0
2020-12-29 23:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,29,364,53,2,2020,0,0,0
2020-12-30 00:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,30,365,53,3,2020,0,0,0
2020-12-30 01:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,30,365,53,3,2020,0,0,0
2020-12-30 02:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,30,365,53,3,2020,0,0,0
2020-12-30 03:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,30,365,53,3,2020,0,0,0
2020-12-30 04:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,30,365,53,3,2020,0,0,0
2020-12-30 05:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,30,365,53,3,2020,0,0,0
2020-12-30 06:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,30,365,53,3,2020,0,0,0
2020-12-30 07:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,30,365,53,3,2020,0,0,0
2020-12-30 08:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,30,365,53,3,2020,0,0,0
2020-12-30 09:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,30,365,53,3,2020,0,0,0
2020-12-30 10:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,30,365,53,3,2020,0,0,0
2020-12-30 11:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,30,365,53,3,2020,0,0,0
2020-12-30 12:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,30,365,53,3,2020,0,0,0
2020-12-30 13:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,30,365,53,3,2020,0,0,0
2020-12-30 14:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,30,365,53,3,2020,0,0,0
2020-12-30 15:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,30,365,53,3,2020,0,0,0
2020-12-30 16:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,30,365,53,3,2020,0,0,0
2020-12-30 17:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,30,365,53,3,2020,0,0,0
2020-12-30 18:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,30,365,53,3,2020,0,0,0
2020-12-30 19:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,30,365,53,3,2020,0,0,0
2020-12-30 20:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,30,365,53,3,2020,0,0,0
2020-12-30 21:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,30,365,53,3,2020,0,0,0
2020-12-30 22:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,30,365,53,3,2020,0,0,0
2020-12-30 23:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,30,365,53,3,2020,0,0,0
2020-12-31 00:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,31,366,53,4,2020,0,0,1
2020-12-31 01:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,31,366,53,4,2020,0,0,1
2020-12-31 02:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,31,366,53,4,2020,0,0,1
2020-12-31 03:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,31,366,53,4,2020,0,0,1
2020-12-31 04:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,31,366,53,4,2020,0,0,1
2020-12-31 05:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,31,366,53,4,2020,0,0,1
2020-12-31 06:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,31,366,53,4,2020,0,0,1
2020-12-31 07:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,31,366,53,4,2020,0,0,1
2020-12-31 08:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,31,366,53,4,2020,0,0,1
2020-12-31 09:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,31,366,53,4,2020,0,0,1
2020-12-31 10:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,31,366,53,4,2020,0,0,1
2020-12-31 11:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,31,366,53,4,2020,0,0,1
2020-12-31 12:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,31,366,53,4,2020,0,0,1
2020-12-31 13:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,31,366,53,4,2020,0,0,1
2020-12-31 14:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,31,366,53,4,2020,0,0,1
2020-12-31 15:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,31,366,53,4,2020,0,0,1
2020-12-31 16:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,31,366,53,4,2020,0,0,1
2020-12-31 17:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,31,366,53,4,2020,0,0,1
2020-12-31 18:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,31,366,53,4,2020,0,0,1
2020-12-31 19:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,31,366,53,4,2020,0,0,1
2020-12-31 20:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,31,366,53,4,2020,0,0,1
2020-12-31 21:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,31,366,53,4,2020,0,0,1
2020-12-31 22:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,31,366,53,4,2020,0,0,1
2020-12-31 23:00:00,24.15264540007053,68.93207224669614,29.33921938325999,12,31,366,53,4,2020,0,0,1
2021-01-01 00:00:00,24.15264540007053,68.93207224669614,29.33921938325999,1,1,1,53,5,2021,1,1,0
2021-01-01 01:00:00,24.15264540007053,68.93207224669614,29.33921938325999,1,1,1,53,5,2021,1,1,0
2021-01-01 02:00:00,24.15264540007053,68.93207224669614,29.33921938325999,1,1,1,53,5,2021,1,1,0
2021-01-01 03:00:00,24.15264540007053,68.93207224669614,29.33921938325999,1,1,1,53,5,2021,1,1,0
2021-01-01 04:00:00,24.15264540007053,68.93207224669614,29.33921938325999,1,1,1,53,5,2021,1,1,0
2021-01-01 05:00:00,24.15264540007053,68.93207224669614,29.33921938325999,1,1,1,53,5,2021,1,1,0
2021-01-01 06:00:00,24.15264540007053,68.93207224669614,29.33921938325999,1,1,1,53,5,2021,1,1,0
2021-01-01 07:00:00,24.15264540007053,68.93207224669614,29.33921938325999,1,1,1,53,5,2021,1,1,0
2021-01-01 08:00:00,24.15264540007053,68.93207224669614,29.33921938325999,1,1,1,53,5,2021,1,1,0
2021-01-01 09:00:00,24.15264540007053,68.93207224669614,29.33921938325999,1,1,1,53,5,2021,1,1,0
2021-01-01 10:00:00,24.15264540007053,68.93207224669614,29.33921938325999,1,1,1,53,5,2021,1,1,0
2021-01-01 11:00:00,24.15264540007053,68.93207224669614,29.33921938325999,1,1,1,53,5,2021,1,1,0
2021-01-01 12:00:00,24.15264540007053,68.93207224669614,29.33921938325999,1,1,1,53,5,2021,1,1,0
2021-01-01 13:00:00,24.15264540007053,68.93207224669614,29.33921938325999,1,1,1,53,5,2021,1,1,0
2021-01-01 14:00:00,24.15264540007053,68.93207224669614,29.33921938325999,1,1,1,53,5,2021,1,1,0
2021-01-01 15:00:00,24.15264540007053,68.93207224669614,29.33921938325999,1,1,1,53,5,2021,1,1,0
2021-01-01 16:00:00,24.15264540007053,68.93207224669614,29.33921938325999,1,1,1,53,5,2021,1,1,0
2021-01-01 17:00:00,24.15264540007053,68.93207224669614,29.33921938325999,1,1,1,53,5,2021,1,1,0
2021-01-01 18:00:00,24.15264540007053,68.93207224669614,29.33921938325999,1,1,1,53,5,2021,1,1,0
2021-01-01 19:00:00,24.15264540007053,68.93207224669614,29.33921938325999,1,1,1,53,5,2021,1,1,0
2021-01-01 20:00:00,24.15264540007053,68.93207224669614,29.33921938325999,1,1,1,53,5,2021,1,1,0
2021-01-01 21:00:00,24.15264540007053,68.93207224669614,29.33921938325999,1,1,1,53,5,2021,1,1,0
2021-01-01 22:00:00,24.15264540007053,68.93207224669614,29.33921938325999,1,1,1,53,5,2021,1,1,0
2021-01-01 23:00:00,24.15264540007053,68.93207224669614,29.33921938325999,1,1,1,53,5,2021,1,1,0
2021-02-01 00:00:00,24.15264540007053,68.93207224669614,29.33921938325999,2,1,32,5,1,2021,0,1,0
2021-02-01 01:00:00,24.15264540007053,68.93207224669614,29.33921938325999,2,1,32,5,1,2021,0,1,0
2021-02-01 02:00:00,24.15264540007053,68.93207224669614,29.33921938325999,2,1,32,5,1,2021,0,1,0
2021-02-01 03:00:00,24.15264540007053,68.93207224669614,29.33921938325999,2,1,32,5,1,2021,0,1,0
2021-02-01 04:00:00,24.15264540007053,68.93207224669614,29.33921938325999,2,1,32,5,1,2021,0,1,0
2021-02-01 05:00:00,24.15264540007053,68.93207224669614,29.33921938325999,2,1,32,5,1,2021,0,1,0
2021-02-01 06:00:00,24.15264540007053,68.93207224669614,29.33921938325999,2,1,32,5,1,2021,0,1,0
2021-02-01 07:00:00,24.15264540007053,68.93207224669614,29.33921938325999,2,1,32,5,1,2021,0,1,0
2021-02-01 08:00:00,24.15264540007053,68.93207224669614,29.33921938325999,2,1,32,5,1,2021,0,1,0
2021-02-01 09:00:00,24.15264540007053,68.93207224669614,29.33921938325999,2,1,32,5,1,2021,0,1,0
2021-02-01 10:00:00,24.15264540007053,68.93207224669614,29.33921938325999,2,1,32,5,1,2021,0,1,0
2021-02-01 11:00:00,24.15264540007053,68.93207224669614,29.33921938325999,2,1,32,5,1,2021,0,1,0
2021-02-01 12:00:00,24.15264540007053,68.93207224669614,29.33921938325999,2,1,32,5,1,2021,0,1,0
2021-02-01 13:00:00,24.15264540007053,68.93207224669614,29.33921938325999,2,1,32,5,1,2021,0,1,0
2021-02-01 14:00:00,24.15264540007053,68.93207224669614,29.33921938325999,2,1,32,5,1,2021,0,1,0
2021-02-01 15:00:00,24.15264540007053,68.93207224669614,29.33921938325999,2,1,32,5,1,2021,0,1,0
2021-02-01 16:00:00,24.15264540007053,68.93207224669614,29.33921938325999,2,1,32,5,1,2021,0,1,0
2021-02-01 17:00:00,24.15264540007053,68.93207224669614,29.33921938325999,2,1,32,5,1,2021,0,1,0
2021-02-01 18:00:00,24.15264540007053,68.93207224669614,29.33921938325999,2,1,32,5,1,2021,0,1,0
2021-02-01 19:00:00,24.15264540007053,68.93207224669614,29.33921938325999,2,1,32,5,1,2021,0,1,0
2021-02-01 20:00:00,24.15264540007053,68.93207224669614,29.33921938325999,2,1,32,5,1,2021,0,1,0
2021-02-01 21:00:00,24.15264540007053,68.93207224669614,29.33921938325999,2,1,32,5,1,2021,0,1,0
2021-02-01 22:00:00,24.15264540007053,68.93207224669614,29.33921938325999,2,1,32,5,1,2021,0,1,0
2021-02-01 23:00:00,24.15264540007053,68.93207224669614,29.33921938325999,2,1,32,5,1,2021,0,1,0
2021-03-01 00:00:00,24.15264540007053,68.93207224669614,29.33921938325999,3,1,60,9,1,2021,0,1,0
2021-03-01 01:00:00,24.15264540007053,68.93207224669614,29.33921938325999,3,1,60,9,1,2021,0,1,0
2021-03-01 02:00:00,24.15264540007053,68.93207224669614,29.33921938325999,3,1,60,9,1,2021,0,1,0
2021-03-01 03:00:00,24.15264540007053,68.93207224669614,29.33921938325999,3,1,60,9,1,2021,0,1,0
2021-03-01 04:00:00,24.15264540007053,68.93207224669614,29.33921938325999,3,1,60,9,1,2021,0,1,0
2021-03-01 05:00:00,24.15264540007053,68.93207224669614,29.33921938325999,3,1,60,9,1,2021,0,1,0
2021-03-01 06:00:00,24.15264540007053,68.93207224669614,29.33921938325999,3,1,60,9,1,2021,0,1,0
2021-03-01 07:00:00,24.15264540007053,68.93207224669614,29.33921938325999,3,1,60,9,1,2021,0,1,0
2021-03-01 08:00:00,24.15264540007053,68.93207224669614,29.33921938325999,3,1,60,9,1,2021,0,1,0
2021-03-01 09:00:00,24.15264540007053,68.93207224669614,29.33921938325999,3,1,60,9,1,2021,0,1,0
2021-03-01 10:00:00,24.15264540007053,68.93207224669614,29.33921938325999,3,1,60,9,1,2021,0,1,0
2021-03-01 11:00:00,24.15264540007053,68.93207224669614,29.33921938325999,3,1,60,9,1,2021,0,1,0
2021-03-01 12:00:00,24.15264540007053,68.93207224669614,29.33921938325999,3,1,60,9,1,2021,0,1,0
2021-03-01 13:00:00,24.15264540007053,68.93207224669614,29.33921938325999,3,1,60,9,1,2021,0,1,0
2021-03-01 14:00:00,24.15264540007053,68.93207224669614,29.33921938325999,3,1,60,9,1,2021,0,1,0
2021-03-01 15:00:00,24.15264540007053,68.93207224669614,29.33921938325999,3,1,60,9,1,2021,0,1,0
2021-03-01 16:00:00,24.15264540007053,68.93207224669614,29.33921938325999,3,1,60,9,1,2021,0,1,0
2021-03-01 17:00:00,24.15264540007053,68.93207224669614,29.33921938325999,3,1,60,9,1,2021,0,1,0
2021-03-01 18:00:00,24.15264540007053,68.93207224669614,29.33921938325999,3,1,60,9,1,2021,0,1,0
2021-03-01 19:00:00,24.15264540007053,68.93207224669614,29.33921938325999,3,1,60,9,1,2021,0,1,0
2021-03-01 20:00:00,24.15264540007053,68.93207224669614,29.33921938325999,3,1,60,9,1,2021,0,1,0
2021-03-01 21:00:00,24.15264540007053,68.93207224669614,29.33921938325999,3,1,60,9,1,2021,0,1,0
2021-03-01 22:00:00,24.15264540007053,68.93207224669614,29.33921938325999,3,1,60,9,1,2021,0,1,0
